mass,dispersion,kinetic_energy,mean_radius,Group_M_Crit200,Group_M_Crit500,Group_M_Mean200,Group_M_TopHat200,Group_R_Crit200,Group_R_Crit500,Group_R_Mean200,Group_R_TopHat200
1059770,1039.3257,585940341908.75,49.10984479173957,18366.152,12057.176,30501.225,25452.797,924.48047,591.9939,1688.4431,1310.2053
8234,243.86966,338059092.34375,48.00510887932268,17409.809,6466.834,30470.0,26778.365,908.1418,480.9894,1687.8539,1332.5779
4560,197.46275,576131775.0,49.25378465391644,17347.232,12474.023,25415.215,22298.008,907.0278,598.75946,1588.837,1253.6178
3219,177.29166,468618298.03125,55.05999479970689,8016.2803,5496.293,12783.8545,10322.48,701.2434,455.6036,1263.5872,969.775
2354,160.22566,120908005.453125,47.98464211501686,13034.784,7111.845,18335.49,16589.332,824.63135,496.4643,1424.9895,1135.9646
2145,154.591,386043559.6875,47.8978863785371,9839.496,6376.657,15094.203,12922.113,750.83923,478.7542,1335.4839,1045.1804
1928,147.63553,40655118.4375,50.12898402184609,9563.942,6187.406,15925.873,13276.109,743.75256,473.9586,1359.572,1054.6453
1541,216.11147,199935479.921875,49.2390186440718,3244.1565,2323.1143,6034.2837,4554.1714,518.6964,341.92444,983.8511,738.2883
1511,139.89354,165175177.484375,47.013760763970744,8858.24,5355.9604,14283.311,11665.591,724.9813,451.7021,1311.1616,1010.16833
1750,148.64204,33645585.44921875,48.20828578532299,8508.297,5435.631,14734.7705,12298.743,715.31824,453.94128,1324.8474,1028.1183
1441,140.63419,31019202.4140625,45.83326290240801,7783.2236,5624.4653,11854.744,9647.111,694.38257,459.12708,1232.1758,948.1903
1115,126.4305,66729596.640625,50.489798242442006,5892.3164,3451.7327,10477.179,8193.655,632.865,390.1643,1182.4988,897.94104
1025,140.46645,61971556.0546875,50.04137692247162,2271.774,1075.3174,4470.3833,3099.259,460.60944,264.49274,890.2064,649.38684
947,130.09956,56575448.34765625,48.93422722134273,2694.1172,1937.3489,3912.2861,3313.8198,487.55228,321.83832,851.50195,664.0231
801,139.68692,148213973.671875,49.53786430600334,4795.144,3009.5676,7292.3154,6217.7363,590.86426,372.74844,1047.933,819.01154
1017,124.18366,52901038.72265625,47.069181132668966,5346.292,3653.4128,7829.405,6810.71,612.6737,397.62805,1073.0583,844.2837
977,116.46851,39386617.7109375,51.15987454706936,4377.2837,2865.7402,7540.9727,6235.424,573.1793,366.7124,1059.7295,819.8104
872,125.53518,114370797.875,46.418038275478104,4348.6636,1876.6094,7028.915,6009.4346,571.9295,318.4507,1035.1482,809.7606
893,110.621124,13667145.23828125,51.761575924497315,4805.0493,3265.3376,7136.062,6015.1465,591.28516,383.00867,1040.3938,810.05457
842,107.15059,15870652.43359375,54.06230355816911,2965.018,1719.7744,5953.2285,4560.738,503.3886,309.31174,979.40375,738.6545
987,110.06803,18652233.46875,59.65741838497016,2753.2686,1993.5349,4142.2896,3440.331,491.08936,324.92773,867.85913,672.4055
835,128.8463,64744301.7578125,44.70468965716852,4208.0747,2394.8428,5832.1987,5146.0576,565.7042,345.40472,972.72815,768.9933
645,109.9728,47357769.4921875,39.8415149495669,3037.8982,1789.7812,4367.155,3755.9224,507.47705,313.4508,883.31836,692.3685
715,107.13346,54810442.0703125,50.730616583916806,2428.165,1659.5844,4297.1226,3267.716,470.94525,305.66354,878.5719,660.94086
743,111.07751,21335054.896484375,44.134745183606476,2662.1887,1828.6072,5043.464,3600.5447,485.6256,315.71283,926.73535,682.65674
767,104.87632,16775551.35546875,53.228330116143276,3368.2163,2693.5105,4652.0864,4065.2637,525.2328,359.19843,902.1263,710.8705
689,108.824715,27715428.7109375,45.74707288706431,2761.85,1994.5101,4585.944,3662.1262,491.6179,324.9691,897.8194,686.51514
708,112.155556,16720645.171875,48.036154799991536,1492.8639,1057.8304,2435.7612,1935.6519,400.44858,263.0599,727.1099,555.0795
668,101.54122,20127711.53125,46.065568715622625,2983.864,2037.1132,4665.2275,3816.4656,504.44415,327.2694,902.9696,696.0397
691,111.157555,50573053.7578125,52.172647119174194,2167.1792,1409.8073,4547.422,3503.8125,453.44116,289.48724,895.29834,676.48706
654,102.68321,4222948.5732421875,51.11860777199312,2798.6355,2047.9491,4112.948,3514.476,493.77457,327.8597,865.8046,677.20074
571,104.71688,6352606.96875,50.26866296772275,1495.0378,1038.5997,3815.9478,2264.7488,400.66248,261.44592,844.46326,584.91907
723,147.2628,11391635.305664062,53.94772860718976,1776.609,1356.4836,2969.3928,2260.1802,424.38644,285.7814,776.70746,584.51605
685,165.83244,14681840.46875,44.41402196018379,2703.5923,1437.0024,4451.8066,3918.865,488.1296,291.32535,888.9736,702.2188
798,111.32135,68090590.640625,50.04207946115824,2998.7075,2194.2695,4449.7256,3829.991,505.27753,335.48962,888.8213,696.8624
689,109.24573,11296612.5390625,48.72053897453055,2072.8157,1447.6477,3989.5964,2981.5005,446.752,292.04395,857.08154,641.0514
772,108.42952,30231450.640625,49.03652775928879,2625.6365,1695.9629,3859.9102,3406.108,483.38458,307.8803,847.70483,670.1642
630,118.42671,45696050.859375,45.72649509327852,1810.6587,904.9508,3029.0574,2440.169,427.06226,249.71924,781.9072,599.65356
632,116.143196,9713556.09375,42.60477377063367,2628.2593,1954.6895,3997.562,3305.3728,483.54575,322.80478,857.6561,663.46136
635,100.144035,19850606.015625,53.37740818996483,2200.7483,1525.5122,3408.355,2878.7202,455.76294,297.19995,813.26086,633.5996
644,106.43895,33771017.875,53.474094286538644,1644.0934,867.233,3372.0098,2592.5703,413.54272,246.1958,810.3508,611.8561
568,92.349304,29025115.0625,55.5159790130846,1754.046,1075.3387,2588.8955,2255.1462,422.5686,264.49634,742.0099,584.1067
603,92.26333,15974949.234375,48.295401445492196,1953.9281,1350.9441,3185.9644,2587.4277,438.0467,285.39642,795.14575,611.4806
603,90.65022,20948742.9140625,45.023937047159286,2084.2417,1370.7914,2980.2844,2526.25,447.5821,286.7968,777.68835,606.5936
591,118.945656,87787786.40625,50.51355161225921,2924.2744,1826.295,3740.1064,3388.246,501.05798,315.56818,838.81726,668.9712
579,166.25574,18509804.47265625,38.03858996035309,2451.5723,1522.9546,3559.8953,3077.272,472.4702,297.03644,825.12634,647.84485
543,101.0177,34254690.48046875,45.565500587066964,1187.8816,825.84717,1817.1909,1497.179,371.0879,242.20973,659.43286,509.52866
560,99.06004,57073200.625,48.70595215567216,819.62463,567.2109,1916.6038,1089.1589,327.90317,213.70477,671.24097,458.25534
501,98.542656,13056405.416015625,52.368643800614365,2029.5763,1445.6473,3118.136,2608.3066,443.62097,291.92432,789.499,613.11707
531,96.84684,9920163.779296875,53.64182428385522,2311.803,1425.8381,3054.128,2781.1565,463.29407,290.58875,784.031,626.37146
525,95.260445,19416376.46484375,52.20897527829267,2233.8755,1585.843,3130.1152,2748.817,458.0334,301.0733,790.47595,623.9348
670,107.18088,9761225.419921875,44.301555363408944,2195.1917,1657.558,3084.2983,2701.1594,455.3933,305.54553,786.6145,620.28564
539,108.42593,40567792.890625,46.569514991703535,1779.6294,1096.8439,2878.6377,2517.268,424.61078,266.25427,768.745,605.88306
603,95.58688,32101713.140625,51.7841259762584,2097.8625,1390.2053,2919.055,2610.2283,448.56677,288.13574,772.2958,613.2539
450,115.17405,12408577.734375,42.385873305375874,1433.3865,850.17444,2595.5776,2015.593,395.07965,244.57004,742.6594,562.6354
512,113.554405,35162612.0,45.08960669418106,1397.7168,941.7093,2311.7502,1867.459,391.7627,253.06006,714.5238,548.4917
510,104.526764,50120871.5625,38.76983174474226,1470.9546,969.1828,2297.7048,2005.3185,398.494,255.48077,713.1036,561.68036
519,96.25355,81793540.40625,51.36093177211644,1475.3956,1131.6068,2467.958,1989.3947,398.8919,269.03308,730.277,560.1835
503,94.808784,22553337.1640625,47.505000764722126,1679.4457,1171.6548,2666.7654,2194.3452,416.48566,272.17453,749.39886,578.7842
437,98.51034,7324350.44921875,47.37479901837315,1488.4354,961.5524,2230.1611,1879.9641,400.06577,254.82022,706.0258,549.70526
521,94.1678,8545342.27734375,50.31122620670137,1286.5148,947.80817,2400.8525,1582.021,381.09113,253.60362,723.6128,518.98645
542,93.68384,16099921.5703125,57.230510209399014,1502.8894,1136.6045,2195.009,1861.5671,401.35608,269.42987,702.29614,547.91125
425,76.91432,31179892.578125,60.82477554674986,462.3067,273.1183,1990.5955,771.8046,270.93915,167.50125,679.77466,408.5653
501,100.06448,18653505.984375,45.40970446683864,751.57074,331.02448,1651.5073,1321.4819,318.56647,178.59126,638.75494,488.7826
401,83.70785,27568972.4296875,49.080845992702436,1288.8356,926.5962,2079.425,1624.3673,381.30954,251.69455,689.7518,523.5798
451,96.50722,10110452.81640625,48.39485774190658,994.9594,616.73254,1865.9513,1456.3512,349.79797,219.75443,665.29016,504.85693
468,86.59525,13950462.09375,58.401081148356106,1727.0557,1283.8495,2242.3567,2024.2906,420.39148,280.60193,707.30664,563.43567
507,101.6088,60621356.25,43.08120795098049,1348.3715,925.98456,1980.8777,1706.41,387.09528,251.629,678.6768,532.2392
507,90.51168,70869632.4375,55.2147640220949,769.69073,538.5434,1775.6901,1101.9415,321.11807,210.05252,654.38153,460.0551
477,96.96353,9750812.572265625,48.255745184997146,792.8152,550.984,1344.3485,1051.9929,324.30334,211.65195,596.4162,452.9992
527,103.4024,77949582.828125,43.46150135015328,1332.0454,895.4243,2050.0344,1694.9609,385.53412,248.83073,686.49927,531.0574
434,88.69588,49267496.90625,49.648874530924665,1306.5651,964.22626,2093.7588,1643.9738,383.05914,255.05548,691.33594,525.6605
437,92.864975,6556332.7646484375,51.65721414708211,1005.7058,779.591,1710.4872,1368.9622,351.057,237.6112,646.2655,494.55914
425,85.58275,61891514.84375,56.60719918879577,498.76288,338.02963,1100.4512,727.9629,277.8751,179.83713,557.91864,400.67065
505,94.4352,11809058.0859375,48.996352702267544,902.3074,566.355,1986.757,1593.0944,338.58975,213.60342,679.3614,520.1978
458,95.36486,26094154.6171875,45.428708743755855,925.19183,622.9805,1845.6143,1452.7089,341.42352,220.50168,662.85706,504.4588
430,94.6591,54605565.625,47.206365227252455,887.13104,499.7888,1895.8774,1511.2488,336.67545,204.87671,668.8149,511.12183
508,94.12704,45477576.84375,48.98040255024835,1108.0005,689.6161,1621.869,1416.9642,362.5708,228.09306,634.9194,500.28604
508,94.57192,4980126.90234375,48.426528495333784,1210.7784,960.10706,1636.1093,1413.6276,373.4632,254.69101,636.7615,499.86157
444,92.14295,37080715.5,48.52700903073205,459.82236,305.9974,1611.4928,758.7027,270.45007,173.97379,633.5692,406.22314
398,94.76402,41501310.078125,50.36504680284855,777.3423,553.373,1599.7402,1224.9259,322.171,211.95633,632.0143,476.57898
428,92.0076,21152358.53125,49.956770863198564,930.817,652.08057,1516.5966,1226.0059,342.11813,223.88403,620.878,476.7127
506,94.25761,50817540.46875,45.14665095855325,1022.6544,686.63043,1546.6858,1240.7542,353.013,227.75983,624.93384,478.61816
420,82.00645,21110794.6875,50.75310277614808,534.3928,368.5853,826.6898,700.11395,284.3369,185.10141,507.1635,395.49512
340,135.19719,23120007.96875,49.27714789522117,565.8483,357.27054,1001.38715,772.2324,289.8057,183.18874,540.6369,408.6371
382,87.83693,45793879.46875,54.80417019089423,838.71313,558.63983,1173.0613,1017.71783,330.43417,212.62729,569.927,448.0271
313,93.45903,9925399.94921875,39.298670436121306,398.91965,271.35028,720.52673,518.7737,257.94104,167.14444,484.45123,357.88965
331,87.96751,20490799.37109375,42.292880537279856,768.0289,583.83966,1190.6621,988.34357,320.88467,215.77606,572.76996,443.6502
386,102.68332,29806980.3125,48.31412968224849,1112.4022,799.0138,1664.3215,1412.899,363.05762,239.56647,640.41394,499.78253
439,85.20794,4734244.59375,47.01058516108367,984.9032,746.307,1495.5178,1237.1587,348.6233,234.17319,617.98,478.15073
421,90.7165,34535379.90625,50.8220220936505,650.87854,381.07364,1033.0953,862.8603,303.66208,187.16432,546.28784,424.03528
409,92.49251,162790806.28125,44.43007970307813,1105.7009,825.4257,1598.323,1387.5356,362.32385,242.17624,631.82556,496.7948
426,110.55283,7902803.37890625,52.31293635944053,690.98486,454.1861,1366.0667,1131.9716,309.7713,198.45374,599.6024,464.20087
391,93.72222,34639365.0859375,42.160047491578894,944.04126,636.6678,1434.1741,1253.0823,343.72696,222.09177,609.39996,480.18628
363,79.30299,7971103.529296875,60.88250523228635,1064.3236,786.0506,1525.384,1301.2474,357.74985,238.26294,622.0556,486.2807
382,100.06462,12404971.0078125,59.33128942048095,451.8388,292.04727,1140.4496,821.34357,268.8718,171.2878,564.58954,417.11176
445,85.28707,11482188.984375,49.076500788946845,965.2101,682.17694,1462.7346,1209.4006,346.2726,227.26532,613.4229,474.53607
406,85.90364,3839294.59375,49.655569044261036,1213.5444,919.40106,1569.2616,1409.4128,373.7528,251.03998,627.99207,499.37643
442,82.57105,23281918.359375,49.93204855257042,1028.625,626.74963,1453.148,1285.7915,353.69553,220.93198,612.1055,484.3355
479,87.271126,59930893.3125,50.362683629287964,751.619,512.9192,1113.6188,946.3838,318.5755,206.65924,560.11926,437.29208
345,91.812965,2702970.2197265625,44.21607075584552,558.87506,410.68942,756.0009,661.0298,288.61343,191.90518,492.2812,387.99036
410,94.785385,41111798.671875,42.39462033097846,968.259,686.3169,1398.8586,1218.9396,346.6463,227.7199,604.36975,475.79312
415,92.92244,7225959.736328125,44.5970292680045,854.2512,611.80035,1339.7947,1100.1117,332.47302,219.16565,595.74414,459.80292
385,89.54209,58704030.0,45.02303555368907,991.25006,557.3601,1403.154,1277.7483,349.37036,212.4638,604.99976,483.3322
388,89.39142,11142515.796875,45.76089831344141,721.9162,528.3511,1128.6998,887.0324,314.3224,208.71251,562.65356,427.96722
410,80.06824,19078560.4296875,51.325254390808915,629.3226,443.9824,1265.018,942.77356,300.2626,196.95505,584.45624,436.7379
392,85.30282,8447276.90625,51.34934635507788,895.2747,615.158,1319.0637,1133.0142,337.70837,219.5646,592.6478,464.32867
430,80.80716,38211436.015625,55.09861764160354,1032.8687,794.90826,1310.5233,1183.2719,354.18826,239.15996,591.3783,471.09973
421,84.16996,7260123.62109375,52.77411928223554,810.15265,508.45486,1227.248,1045.92,326.6389,206.05511,578.5793,452.11627
344,72.67045,21785044.3125,66.06434038354202,786.2445,575.8668,1206.9888,1007.2053,323.3932,214.7855,575.3705,446.45306
414,82.732376,16979047.2421875,54.22029221509808,891.1856,665.71204,1261.3772,1082.1665,337.1876,225.42334,583.8732,457.29388
352,83.396675,17916487.875,51.93244654266011,756.5897,517.45435,1220.0537,1043.6344,319.28168,207.26341,577.4317,451.7816
